ID,CSE1,CSE2,CSE3,CSE4,SECTION,AVG_MARK,Grade,Highest_Mark_Subject,Lowest_Mark_Subject,Highest_Mark,Lowest_Mark,MAX_AVG_MARK_SECTION
2644,68,74,66,53,D,65.25,C,CSE2,CSE4,74,53,89.75
2645,34,92,77,56,C,64.75,C,CSE2,CSE1,92,34,91.25
2646,59,38,87,77,C,65.25,C,CSE3,CSE2,87,38,91.25
2647,37,62,88,61,A,62.0,C,CSE3,CSE1,88,37,91.75
2648,70,51,40,61,A,55.5,C,CSE1,CSE3,70,40,91.75
2649,77,76,31,44,C,57.0,C,CSE1,CSE3,77,31,91.25
2650,50,35,41,70,A,49.0,D,CSE4,CSE2,70,35,91.75
2651,68,68,55,74,D,66.25,C,CSE4,CSE3,74,55,89.75
2652,84,92,62,61,A,74.75,B,CSE2,CSE4,92,61,91.75
2653,46,43,77,39,A,51.25,C,CSE3,CSE4,77,39,91.75
2654,74,89,75,79,A,79.25,Invalid,CSE2,CSE1,89,74,91.75
2655,51,92,48,91,C,70.5,B,CSE2,CSE3,92,48,91.25
2656,94,88,39,80,C,75.25,B,CSE1,CSE3,94,39,91.25
2657,33,65,59,31,A,47.0,D,CSE2,CSE4,65,31,91.75
2658,85,48,25,73,D,57.75,C,CSE1,CSE3,85,25,89.75
2659,59,35,72,30,C,49.0,D,CSE3,CSE4,72,30,91.25
2660,45,32,57,27,D,40.25,D,CSE3,CSE4,57,27,89.75
2661,88,54,54,57,A,63.25,C,CSE1,CSE2,88,54,91.75
2662,87,85,53,76,D,75.25,B,CSE1,CSE3,87,53,89.75
2663,62,25,90,64,A,60.25,C,CSE3,CSE2,90,25,91.75
2664,25,34,59,82,D,50.0,C,CSE4,CSE1,82,25,89.75
2665,90,83,82,28,B,70.75,B,CSE1,CSE4,90,28,89.75
2666,60,82,65,90,C,74.25,B,CSE4,CSE1,90,60,91.25
2667,38,53,88,70,D,62.25,C,CSE3,CSE1,88,38,89.75
2668,56,57,53,64,A,57.5,C,CSE4,CSE3,64,53,91.75
2669,90,36,50,67,B,60.75,C,CSE1,CSE2,90,36,89.75
2670,69,90,60,25,B,61.0,C,CSE2,CSE4,90,25,89.75
2671,40,60,42,79,A,55.25,C,CSE4,CSE1,79,40,91.75
2672,42,87,42,64,D,58.75,C,CSE2,CSE1,87,42,89.75
2673,69,40,45,90,D,61.0,C,CSE4,CSE2,90,40,89.75
2674,30,42,81,87,D,60.0,C,CSE4,CSE1,87,30,89.75
2675,55,83,37,88,A,65.75,C,CSE4,CSE3,88,37,91.75
2676,84,82,28,65,C,64.75,C,CSE1,CSE3,84,28,91.25
2677,81,42,37,37,B,49.25,Invalid,CSE1,CSE3,81,37,89.75
2678,47,47,36,53,A,45.75,D,CSE4,CSE3,53,36,91.75
2679,44,65,53,77,B,59.75,C,CSE4,CSE1,77,44,89.75
2680,30,45,41,90,B,51.5,C,CSE4,CSE1,90,30,89.75
2681,70,55,67,50,B,60.5,C,CSE1,CSE4,70,50,89.75
2682,93,63,72,26,D,63.5,C,CSE1,CSE4,93,26,89.75
2683,70,91,87,83,D,82.75,A-,CSE2,CSE1,91,70,89.75
2684,80,40,43,42,D,51.25,C,CSE1,CSE2,80,40,89.75
2685,81,56,81,94,C,78.0,B,CSE4,CSE2,94,56,91.25
2686,42,48,53,36,D,44.75,D,CSE3,CSE4,53,36,89.75
2687,78,76,29,27,D,52.5,C,CSE1,CSE4,78,27,89.75
2688,43,85,63,34,B,56.25,C,CSE2,CSE4,85,34,89.75
2689,30,45,88,74,C,59.25,C,CSE3,CSE1,88,30,91.25
2690,37,35,67,39,D,44.5,D,CSE3,CSE2,67,35,89.75
2691,53,62,33,87,A,58.75,C,CSE4,CSE3,87,33,91.75
2692,88,38,41,75,B,60.5,C,CSE1,CSE2,88,38,89.75
2693,25,37,57,64,D,45.75,D,CSE4,CSE1,64,25,89.75
2694,42,90,93,73,D,74.5,B,CSE3,CSE1,93,42,89.75
2695,64,30,39,65,A,49.5,Invalid,CSE4,CSE2,65,30,91.75
2696,51,93,70,46,B,65.0,C,CSE2,CSE4,93,46,89.75
2697,52,78,88,86,C,76.0,B,CSE3,CSE1,88,52,91.25
2698,66,43,43,41,C,48.25,D,CSE1,CSE4,66,41,91.25
2699,68,26,46,31,D,42.75,D,CSE1,CSE2,68,26,89.75
2700,67,68,30,67,B,58.0,C,CSE2,CSE3,68,30,89.75
2701,88,60,64,92,B,76.0,B,CSE4,CSE2,92,60,89.75
2702,33,25,32,45,A,33.75,D,CSE4,CSE2,45,25,91.75
2703,64,47,35,93,C,59.75,C,CSE4,CSE3,93,35,91.25
2704,90,76,72,49,C,71.75,B,CSE1,CSE4,90,49,91.25
2705,31,92,76,76,B,68.75,C,CSE2,CSE1,92,31,89.75
2706,38,63,61,51,D,53.25,C,CSE2,CSE1,63,38,89.75
2707,90,75,37,83,C,71.25,B,CSE1,CSE3,90,37,91.25
2708,33,29,28,76,C,41.5,D,CSE4,CSE3,76,28,91.25
2709,63,81,26,74,B,61.0,C,CSE2,CSE3,81,26,89.75
2710,94,45,76,83,A,74.5,B,CSE1,CSE2,94,45,91.75
2711,33,40,49,72,D,48.5,D,CSE4,CSE1,72,33,89.75
2712,50,52,89,35,D,56.5,C,CSE3,CSE4,89,35,89.75
2713,48,62,85,27,B,55.5,C,CSE3,CSE4,85,27,89.75
2714,60,58,43,68,D,57.25,C,CSE4,CSE3,68,43,89.75
2715,85,25,64,67,C,60.25,C,CSE1,CSE2,85,25,91.25
2716,25,55,40,69,B,47.25,D,CSE4,CSE1,69,25,89.75
2717,38,81,59,77,A,63.75,C,CSE2,CSE1,81,38,91.75
2718,61,34,84,79,B,64.5,C,CSE3,CSE2,84,34,89.75
2719,94,71,63,54,A,70.5,B,CSE1,CSE4,94,54,91.75
2720,60,84,53,46,D,60.75,C,CSE2,CSE4,84,46,89.75
2721,50,48,64,61,D,55.75,C,CSE3,CSE2,64,48,89.75
2722,34,74,61,54,B,55.75,C,CSE2,CSE1,74,34,89.75
2723,82,59,67,33,D,60.25,C,CSE1,CSE4,82,33,89.75
2724,56,47,88,33,B,56.0,C,CSE3,CSE4,88,33,89.75
2725,86,79,35,36,A,59.0,C,CSE1,CSE3,86,35,91.75
2726,33,68,80,87,C,67.0,C,CSE4,CSE1,87,33,91.25
2727,29,43,89,26,B,46.75,D,CSE3,CSE4,89,26,89.75
2728,88,27,74,46,B,58.75,C,CSE1,CSE2,88,27,89.75
2729,79,72,54,83,A,72.0,B,CSE4,CSE3,83,54,91.75
2730,45,56,33,85,A,54.75,C,CSE4,CSE3,85,33,91.75
2731,94,69,94,92,D,87.25,A-,CSE1,CSE2,94,69,89.75
2732,46,55,44,28,B,43.25,D,CSE2,CSE4,55,28,89.75
2733,85,78,87,78,B,82.0,A-,CSE3,CSE2,87,78,89.75
2734,27,69,77,51,B,56.0,C,CSE3,CSE1,77,27,89.75
2735,87,58,48,60,D,63.25,C,CSE1,CSE3,87,48,89.75
2736,34,44,61,59,B,49.5,Invalid,CSE3,CSE1,61,34,89.75
2737,73,74,46,68,D,65.25,C,CSE2,CSE3,74,46,89.75
2738,84,45,51,72,C,63.0,C,CSE1,CSE2,84,45,91.25
2739,63,50,72,76,C,65.25,C,CSE4,CSE2,76,50,91.25
2740,71,31,53,53,B,52.0,C,CSE1,CSE2,71,31,89.75
2741,86,78,76,35,B,68.75,C,CSE1,CSE4,86,35,89.75
2742,43,81,32,36,B,48.0,D,CSE2,CSE3,81,32,89.75
2743,37,73,56,79,D,61.25,C,CSE4,CSE1,79,37,89.75
2744,80,61,34,84,C,64.75,C,CSE4,CSE3,84,34,91.25
2745,26,32,86,66,B,52.5,C,CSE3,CSE1,86,26,89.75
2746,74,39,60,79,D,63.0,C,CSE4,CSE2,79,39,89.75
2747,54,89,70,88,A,75.25,B,CSE2,CSE1,89,54,91.75
2748,54,45,53,84,D,59.0,C,CSE4,CSE2,84,45,89.75
2749,42,56,75,65,B,59.5,C,CSE3,CSE1,75,42,89.75
2750,44,61,42,67,C,53.5,C,CSE4,CSE3,67,42,91.25
2751,48,63,35,73,B,54.75,C,CSE4,CSE3,73,35,89.75
2752,83,88,76,34,B,70.25,B,CSE2,CSE4,88,34,89.75
2753,69,67,44,76,A,64.0,C,CSE4,CSE3,76,44,91.75
2754,81,64,29,41,B,53.75,C,CSE1,CSE3,81,29,89.75
2755,32,73,70,77,A,63.0,C,CSE4,CSE1,77,32,91.75
2756,84,63,68,76,A,72.75,B,CSE1,CSE2,84,63,91.75
2757,94,69,65,68,B,74.0,B,CSE1,CSE3,94,65,89.75
2758,62,53,86,74,A,68.75,C,CSE3,CSE2,86,53,91.75
2759,82,89,33,35,C,59.75,C,CSE2,CSE3,89,33,91.25
2760,71,39,61,65,D,59.0,C,CSE1,CSE2,71,39,89.75
2761,80,46,37,84,A,61.75,C,CSE4,CSE3,84,37,91.75
2762,54,47,86,52,A,59.75,C,CSE3,CSE2,86,47,91.75
2763,68,82,28,45,A,55.75,C,CSE2,CSE3,82,28,91.75
2764,42,91,65,75,C,68.25,C,CSE2,CSE1,91,42,91.25
2765,56,72,47,80,D,63.75,C,CSE4,CSE3,80,47,89.75
2766,53,44,36,46,C,44.75,D,CSE1,CSE3,53,36,91.25
2767,37,78,29,87,C,57.75,C,CSE4,CSE3,87,29,91.25
2768,79,37,34,84,A,58.5,C,CSE4,CSE3,84,34,91.75
2769,76,78,30,86,C,67.5,C,CSE4,CSE3,86,30,91.25
2770,25,63,57,35,D,45.0,D,CSE2,CSE1,63,25,89.75
2771,31,41,88,54,A,53.5,C,CSE3,CSE1,88,31,91.75
2772,38,81,41,82,D,60.5,C,CSE4,CSE1,82,38,89.75
2773,79,84,25,64,A,63.0,C,CSE2,CSE3,84,25,91.75
2774,46,92,40,66,C,61.0,C,CSE2,CSE3,92,40,91.25
2775,72,88,38,91,D,72.25,B,CSE4,CSE3,91,38,89.75
2776,59,39,59,58,B,53.75,C,CSE1,CSE2,59,39,89.75
2777,91,29,47,91,C,64.5,C,CSE1,CSE2,91,29,91.25
2778,80,27,88,89,B,71.0,B,CSE4,CSE2,89,27,89.75
2779,66,41,32,41,C,45.0,D,CSE1,CSE3,66,32,91.25
2780,52,31,94,90,D,66.75,C,CSE3,CSE2,94,31,89.75
2781,85,58,88,44,A,68.75,C,CSE3,CSE4,88,44,91.75
2782,33,55,92,90,C,67.5,C,CSE3,CSE1,92,33,91.25
2783,73,57,59,47,C,59.0,C,CSE1,CSE4,73,47,91.25
2784,47,90,90,76,D,75.75,B,CSE2,CSE1,90,47,89.75
2785,45,74,77,70,A,66.5,C,CSE3,CSE1,77,45,91.75
2786,55,84,87,38,A,66.0,C,CSE3,CSE4,87,38,91.75
2787,83,44,54,41,D,55.5,C,CSE1,CSE4,83,41,89.75
2788,70,31,29,90,A,55.0,C,CSE4,CSE3,90,29,91.75
2789,92,86,62,55,C,73.75,B,CSE1,CSE4,92,55,91.25
2790,36,49,47,28,D,40.0,D,CSE2,CSE4,49,28,89.75
2791,80,57,69,79,A,71.25,B,CSE1,CSE2,80,57,91.75
2792,30,81,85,92,C,72.0,B,CSE4,CSE1,92,30,91.25
2793,87,34,83,90,C,73.5,B,CSE4,CSE2,90,34,91.25
2794,57,33,62,88,C,60.0,C,CSE4,CSE2,88,33,91.25
2795,61,83,54,33,B,57.75,C,CSE2,CSE4,83,33,89.75
2796,42,84,57,65,B,62.0,C,CSE2,CSE1,84,42,89.75
2797,47,64,33,66,C,52.5,C,CSE4,CSE3,66,33,91.25
2798,58,53,51,34,D,49.0,D,CSE1,CSE4,58,34,89.75
2799,39,73,56,67,C,58.75,C,CSE2,CSE1,73,39,91.25
2800,59,33,74,31,D,49.25,Invalid,CSE3,CSE4,74,31,89.75
2801,82,56,53,63,B,63.5,C,CSE1,CSE3,82,53,89.75
2802,75,30,94,45,D,61.0,C,CSE3,CSE2,94,30,89.75
2803,75,48,79,89,B,72.75,B,CSE4,CSE2,89,48,89.75
2804,44,39,41,81,C,51.25,C,CSE4,CSE2,81,39,91.25
2805,55,35,63,39,A,48.0,D,CSE3,CSE2,63,35,91.75
2806,46,31,42,73,B,48.0,D,CSE4,CSE2,73,31,89.75
2807,84,27,51,83,B,61.25,C,CSE1,CSE2,84,27,89.75
2808,48,54,25,69,D,49.0,D,CSE4,CSE3,69,25,89.75
2809,47,54,66,68,B,58.75,C,CSE4,CSE1,68,47,89.75
2810,88,92,61,79,D,80.0,A-,CSE2,CSE3,92,61,89.75
2811,81,94,85,79,C,84.75,A-,CSE2,CSE4,94,79,91.25
2812,66,62,54,44,D,56.5,C,CSE1,CSE4,66,44,89.75
2813,78,43,78,94,D,73.25,B,CSE4,CSE2,94,43,89.75
2814,69,28,35,47,A,44.75,D,CSE1,CSE2,69,28,91.75
2815,59,51,45,60,B,53.75,C,CSE4,CSE3,60,45,89.75
2816,33,53,89,66,D,60.25,C,CSE3,CSE1,89,33,89.75
2817,57,36,81,91,C,66.25,C,CSE4,CSE2,91,36,91.25
2818,54,42,92,46,B,58.5,C,CSE3,CSE2,92,42,89.75
2819,51,68,86,94,B,74.75,B,CSE4,CSE1,94,51,89.75
2820,69,82,36,63,D,62.5,C,CSE2,CSE3,82,36,89.75
2821,62,91,28,69,B,62.5,C,CSE2,CSE3,91,28,89.75
2822,57,93,61,67,C,69.5,Invalid,CSE2,CSE1,93,57,91.25
2823,43,52,92,43,C,57.5,C,CSE3,CSE1,92,43,91.25
2824,82,72,53,75,C,70.5,B,CSE1,CSE3,82,53,91.25
2825,78,71,52,85,A,71.5,B,CSE4,CSE3,85,52,91.75
2826,86,25,80,31,B,55.5,C,CSE1,CSE2,86,25,89.75
2827,60,88,94,71,D,78.25,B,CSE3,CSE1,94,60,89.75
2828,26,60,54,57,A,49.25,Invalid,CSE2,CSE1,60,26,91.75
2829,28,47,32,53,B,40.0,D,CSE4,CSE1,53,28,89.75
2830,93,71,32,33,A,57.25,C,CSE1,CSE3,93,32,91.75
2831,48,46,61,66,A,55.25,C,CSE4,CSE2,66,46,91.75
2832,28,31,44,81,B,46.0,D,CSE4,CSE1,81,28,89.75
2833,64,64,86,38,D,63.0,C,CSE3,CSE4,86,38,89.75
2834,28,30,55,58,B,42.75,D,CSE4,CSE1,58,28,89.75
2835,94,79,57,84,D,78.5,B,CSE1,CSE3,94,57,89.75
2836,55,48,80,28,B,52.75,C,CSE3,CSE4,80,28,89.75
2837,66,51,61,41,C,54.75,C,CSE1,CSE4,66,41,91.25
2838,66,89,43,76,D,68.5,C,CSE2,CSE3,89,43,89.75
2839,27,60,26,35,C,37.0,D,CSE2,CSE3,60,26,91.25
2840,72,31,89,63,C,63.75,C,CSE3,CSE2,89,31,91.25
2841,32,27,50,25,C,33.5,D,CSE3,CSE4,50,25,91.25
2842,75,63,79,65,C,70.5,B,CSE3,CSE2,79,63,91.25
2843,73,60,55,73,D,65.25,C,CSE1,CSE3,73,55,89.75
2844,93,59,42,94,C,72.0,B,CSE4,CSE3,94,42,91.25
2845,59,62,62,35,D,54.5,C,CSE2,CSE4,62,35,89.75
2846,81,46,75,69,C,67.75,C,CSE1,CSE2,81,46,91.25
2847,89,46,26,50,A,52.75,C,CSE1,CSE3,89,26,91.75
2848,48,84,70,71,B,68.25,C,CSE2,CSE1,84,48,89.75
2849,28,70,61,87,A,61.5,C,CSE4,CSE1,87,28,91.75
2850,28,51,85,72,B,59.0,C,CSE3,CSE1,85,28,89.75
2851,71,60,30,78,C,59.75,C,CSE4,CSE3,78,30,91.25
2852,57,92,77,64,C,72.5,B,CSE2,CSE1,92,57,91.25
2853,85,81,58,34,D,64.5,C,CSE1,CSE4,85,34,89.75
2854,58,47,35,51,A,47.75,D,CSE1,CSE3,58,35,91.75
2855,55,83,52,30,C,55.0,C,CSE2,CSE4,83,30,91.25
2856,72,92,57,82,D,75.75,B,CSE2,CSE3,92,57,89.75
2857,93,74,53,70,D,72.5,B,CSE1,CSE3,93,53,89.75
2858,58,77,44,63,A,60.5,C,CSE2,CSE3,77,44,91.75
2859,47,50,49,61,C,51.75,C,CSE4,CSE1,61,47,91.25
2860,36,41,94,92,C,65.75,C,CSE3,CSE1,94,36,91.25
2861,64,86,51,75,C,69.0,C,CSE2,CSE3,86,51,91.25
2862,45,92,87,64,A,72.0,B,CSE2,CSE1,92,45,91.75
2863,66,44,62,77,D,62.25,C,CSE4,CSE2,77,44,89.75
2864,40,60,92,89,B,70.25,B,CSE3,CSE1,92,40,89.75
2865,90,41,51,55,D,59.25,C,CSE1,CSE2,90,41,89.75
2866,90,31,93,61,A,68.75,C,CSE3,CSE2,93,31,91.75
2867,83,40,67,44,A,58.5,C,CSE1,CSE2,83,40,91.75
2868,30,66,42,81,A,54.75,C,CSE4,CSE1,81,30,91.75
2869,66,79,47,68,D,65.0,C,CSE2,CSE3,79,47,89.75
2870,31,51,41,42,D,41.25,D,CSE2,CSE1,51,31,89.75
2871,72,74,38,73,A,64.25,C,CSE2,CSE3,74,38,91.75
2872,86,93,86,69,C,83.5,A-,CSE2,CSE4,93,69,91.25
2873,66,68,42,33,A,52.25,C,CSE2,CSE4,68,33,91.75
2874,78,60,42,68,D,62.0,C,CSE1,CSE3,78,42,89.75
2875,29,90,77,28,C,56.0,C,CSE2,CSE4,90,28,91.25
2876,26,44,58,29,B,39.25,D,CSE3,CSE1,58,26,89.75
2877,50,88,65,80,D,70.75,B,CSE2,CSE1,88,50,89.75
2878,80,85,68,57,A,72.5,B,CSE2,CSE4,85,57,91.75
2879,71,36,40,47,C,48.5,D,CSE1,CSE2,71,36,91.25
2880,68,25,90,43,D,56.5,C,CSE3,CSE2,90,25,89.75
2881,36,89,49,33,C,51.75,C,CSE2,CSE4,89,33,91.25
2882,79,94,52,78,A,75.75,B,CSE2,CSE3,94,52,91.75
2883,50,77,80,34,C,60.25,C,CSE3,CSE4,80,34,91.25
2884,26,68,50,44,B,47.0,D,CSE2,CSE1,68,26,89.75
2885,55,34,68,83,D,60.0,C,CSE4,CSE2,83,34,89.75
2886,40,65,37,41,A,45.75,D,CSE2,CSE3,65,37,91.75
2887,32,67,31,86,D,54.0,C,CSE4,CSE3,86,31,89.75
2888,46,45,69,60,C,55.0,C,CSE3,CSE2,69,45,91.25
2889,84,78,56,69,C,71.75,B,CSE1,CSE3,84,56,91.25
2890,44,75,69,33,B,55.25,C,CSE2,CSE4,75,33,89.75
2891,72,32,61,33,D,49.5,Invalid,CSE1,CSE2,72,32,89.75
2892,80,94,61,63,C,74.5,B,CSE2,CSE3,94,61,91.25
2893,69,72,58,47,A,61.5,C,CSE2,CSE4,72,47,91.75
2894,32,93,60,41,B,56.5,C,CSE2,CSE1,93,32,89.75
2895,34,93,72,80,B,69.75,Invalid,CSE2,CSE1,93,34,89.75
2896,31,48,65,72,D,54.0,C,CSE4,CSE1,72,31,89.75
2897,68,62,71,91,C,73.0,B,CSE4,CSE2,91,62,91.25
2898,71,72,71,61,D,68.75,C,CSE2,CSE4,72,61,89.75
2899,86,43,90,77,B,74.0,B,CSE3,CSE2,90,43,89.75
2900,70,88,40,61,D,64.75,C,CSE2,CSE3,88,40,89.75
2901,73,41,92,49,C,63.75,C,CSE3,CSE2,92,41,91.25
2902,26,87,39,56,A,52.0,C,CSE2,CSE1,87,26,91.75
2903,55,66,49,61,C,57.75,C,CSE2,CSE3,66,49,91.25
2904,67,88,34,92,C,70.25,B,CSE4,CSE3,92,34,91.25
2905,77,29,27,91,D,56.0,C,CSE4,CSE3,91,27,89.75
2906,57,65,41,41,C,51.0,C,CSE2,CSE3,65,41,91.25
2907,76,52,73,63,B,66.0,C,CSE1,CSE2,76,52,89.75
2908,28,84,27,44,D,45.75,D,CSE2,CSE3,84,27,89.75
2909,89,32,48,73,C,60.5,C,CSE1,CSE2,89,32,91.25
2910,90,91,37,45,A,65.75,C,CSE2,CSE3,91,37,91.75
2911,27,38,90,57,A,53.0,C,CSE3,CSE1,90,27,91.75
2912,60,47,53,48,B,52.0,C,CSE1,CSE2,60,47,89.75
2913,88,52,55,63,B,64.5,C,CSE1,CSE2,88,52,89.75
2914,80,53,49,43,C,56.25,C,CSE1,CSE4,80,43,91.25
2915,59,87,44,76,C,66.5,C,CSE2,CSE3,87,44,91.25
2916,71,61,77,51,A,65.0,C,CSE3,CSE4,77,51,91.75
2917,53,74,86,76,B,72.25,B,CSE3,CSE1,86,53,89.75
2918,85,56,73,87,C,75.25,B,CSE4,CSE2,87,56,91.25
2919,71,47,63,28,A,52.25,C,CSE1,CSE4,71,28,91.75
2920,27,31,25,39,B,30.5,D,CSE4,CSE3,39,25,89.75
2921,84,41,31,73,B,57.25,C,CSE1,CSE3,84,31,89.75
2922,46,56,51,43,C,49.0,D,CSE2,CSE4,56,43,91.25
2923,66,87,53,87,B,73.25,B,CSE2,CSE3,87,53,89.75
2924,56,38,52,68,B,53.5,C,CSE4,CSE2,68,38,89.75
2925,25,30,80,49,C,46.0,D,CSE3,CSE1,80,25,91.25
2926,65,77,31,43,D,54.0,C,CSE2,CSE3,77,31,89.75
2927,67,91,81,33,A,68.0,C,CSE2,CSE4,91,33,91.75
2928,83,71,30,33,D,54.25,C,CSE1,CSE3,83,30,89.75
2929,36,64,70,60,B,57.5,C,CSE3,CSE1,70,36,89.75
2930,55,28,78,30,A,47.75,D,CSE3,CSE2,78,28,91.75
2931,60,37,57,25,B,44.75,D,CSE1,CSE4,60,25,89.75
2932,46,90,59,31,C,56.5,C,CSE2,CSE4,90,31,91.25
2933,78,84,89,39,D,72.5,B,CSE3,CSE4,89,39,89.75
2934,52,81,37,26,A,49.0,D,CSE2,CSE4,81,26,91.75
2935,85,82,65,55,B,71.75,B,CSE1,CSE4,85,55,89.75
2936,71,72,72,77,C,73.0,B,CSE4,CSE1,77,71,91.25
2937,66,58,36,79,D,59.75,C,CSE4,CSE3,79,36,89.75
2938,46,27,50,60,B,45.75,D,CSE4,CSE2,60,27,89.75
2939,85,51,48,41,A,56.25,C,CSE1,CSE4,85,41,91.75
2940,36,52,36,56,B,45.0,D,CSE4,CSE1,56,36,89.75
2941,35,32,38,76,C,45.25,D,CSE4,CSE2,76,32,91.25
2942,77,40,63,62,D,60.5,C,CSE1,CSE2,77,40,89.75
2943,58,47,71,53,D,57.25,C,CSE3,CSE2,71,47,89.75
2944,41,44,29,33,A,36.75,D,CSE2,CSE3,44,29,91.75
2945,40,56,68,61,B,56.25,C,CSE3,CSE1,68,40,89.75
2946,27,88,87,50,A,63.0,C,CSE2,CSE1,88,27,91.75
2947,38,60,68,58,C,56.0,C,CSE3,CSE1,68,38,91.25
2948,62,29,60,28,D,44.75,D,CSE1,CSE4,62,28,89.75
2949,29,32,72,34,B,41.75,D,CSE3,CSE1,72,29,89.75
2950,48,61,25,64,A,49.5,Invalid,CSE4,CSE3,64,25,91.75
2951,35,44,74,34,B,46.75,D,CSE3,CSE4,74,34,89.75
2952,43,34,50,68,C,48.75,D,CSE4,CSE2,68,34,91.25
2953,79,72,35,59,D,61.25,C,CSE1,CSE3,79,35,89.75
2954,35,93,88,35,B,62.75,C,CSE2,CSE1,93,35,89.75
2955,84,60,62,59,D,66.25,C,CSE1,CSE4,84,59,89.75
2956,78,46,92,87,C,75.75,B,CSE3,CSE2,92,46,91.25
2957,45,62,47,92,C,61.5,C,CSE4,CSE1,92,45,91.25
2958,30,88,52,47,D,54.25,C,CSE2,CSE1,88,30,89.75
2959,56,75,52,40,D,55.75,C,CSE2,CSE4,75,40,89.75
2960,78,66,72,68,B,71.0,B,CSE1,CSE2,78,66,89.75
2961,81,50,70,40,C,60.25,C,CSE1,CSE4,81,40,91.25
2962,69,76,29,75,D,62.25,C,CSE2,CSE3,76,29,89.75
2963,40,49,80,64,A,58.25,C,CSE3,CSE1,80,40,91.75
2964,54,30,69,59,D,53.0,C,CSE3,CSE2,69,30,89.75
2965,90,65,41,91,B,71.75,B,CSE4,CSE3,91,41,89.75
2966,51,56,43,56,C,51.5,C,CSE2,CSE3,56,43,91.25
2967,83,51,71,80,C,71.25,B,CSE1,CSE2,83,51,91.25
2968,54,30,52,68,A,51.0,C,CSE4,CSE2,68,30,91.75
2969,94,83,66,56,D,74.75,B,CSE1,CSE4,94,56,89.75
2970,75,37,52,77,B,60.25,C,CSE4,CSE2,77,37,89.75
2971,40,65,61,87,C,63.25,C,CSE4,CSE1,87,40,91.25
2972,31,45,44,37,A,39.25,D,CSE2,CSE1,45,31,91.75
2973,31,86,25,32,C,43.5,D,CSE2,CSE3,86,25,91.25
2974,83,32,38,52,C,51.25,C,CSE1,CSE2,83,32,91.25
2975,45,49,61,72,D,56.75,C,CSE4,CSE1,72,45,89.75
2976,78,86,76,73,C,78.25,B,CSE2,CSE4,86,73,91.25
2977,60,53,38,62,C,53.25,C,CSE4,CSE3,62,38,91.25
2978,67,40,25,92,D,56.0,C,CSE4,CSE3,92,25,89.75
2979,91,72,26,88,D,69.25,Invalid,CSE1,CSE3,91,26,89.75
2980,33,93,46,71,D,60.75,C,CSE2,CSE1,93,33,89.75
2981,73,53,31,66,D,55.75,C,CSE1,CSE3,73,31,89.75
2982,71,48,47,57,A,55.75,C,CSE1,CSE3,71,47,91.75
2983,85,36,28,27,D,44.0,D,CSE1,CSE4,85,27,89.75
2984,27,43,36,64,B,42.5,D,CSE4,CSE1,64,27,89.75
2985,88,25,34,90,B,59.25,C,CSE4,CSE2,90,25,89.75
2986,57,41,84,52,D,58.5,C,CSE3,CSE2,84,41,89.75
2987,69,30,68,37,B,51.0,C,CSE1,CSE2,69,30,89.75
2988,78,79,52,85,B,73.5,B,CSE4,CSE3,85,52,89.75
2989,45,87,38,37,A,51.75,C,CSE2,CSE4,87,37,91.75
2990,45,61,63,41,C,52.5,C,CSE3,CSE4,63,41,91.25
2991,73,93,88,70,B,81.0,A-,CSE2,CSE4,93,70,89.75
2992,50,61,70,31,A,53.0,C,CSE3,CSE4,70,31,91.75
2993,86,54,93,94,A,81.75,A-,CSE4,CSE2,94,54,91.75
2994,27,73,46,46,A,48.0,D,CSE2,CSE1,73,27,91.75
2995,35,25,82,65,D,51.75,C,CSE3,CSE2,82,25,89.75
2996,81,89,29,65,C,66.0,C,CSE2,CSE3,89,29,91.25
2997,78,25,52,55,A,52.5,C,CSE1,CSE2,78,25,91.75
2998,78,64,58,37,D,59.25,C,CSE1,CSE4,78,37,89.75
2999,49,41,65,28,B,45.75,D,CSE3,CSE4,65,28,89.75
3000,86,37,61,79,C,65.75,C,CSE1,CSE2,86,37,91.25
3001,79,72,61,74,B,71.5,B,CSE1,CSE3,79,61,89.75
3002,73,75,40,82,B,67.5,C,CSE4,CSE3,82,40,89.75
3003,63,72,37,74,D,61.5,C,CSE4,CSE3,74,37,89.75
3004,61,25,43,39,D,42.0,D,CSE1,CSE2,61,25,89.75
3005,94,76,56,37,B,65.75,C,CSE1,CSE4,94,37,89.75
3006,48,39,45,94,A,56.5,C,CSE4,CSE2,94,39,91.75
3007,73,78,50,68,D,67.25,C,CSE2,CSE3,78,50,89.75
3008,29,58,32,58,C,44.25,D,CSE2,CSE1,58,29,91.25
3009,32,93,32,81,D,59.5,C,CSE2,CSE1,93,32,89.75
3010,67,35,76,33,B,52.75,C,CSE3,CSE4,76,33,89.75
3011,29,55,67,75,D,56.5,C,CSE4,CSE1,75,29,89.75
3012,37,34,31,35,C,34.25,D,CSE1,CSE3,37,31,91.25
3013,43,34,84,51,D,53.0,C,CSE3,CSE2,84,34,89.75
3014,79,50,33,77,D,59.75,C,CSE1,CSE3,79,33,89.75
3015,27,85,49,73,D,58.5,C,CSE2,CSE1,85,27,89.75
3016,88,44,66,89,D,71.75,B,CSE4,CSE2,89,44,89.75
3017,47,78,29,77,B,57.75,C,CSE2,CSE3,78,29,89.75
